# ----------------------------------------
# All Web Site Data
# Pages
# 20210101-20211231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/us/experience/create-christmas-origami-in-this-online-festive-workshop/,137,118,00:01:52,28,75.00%,42.34%,$0.00
/us/experience/an-online-festive-bauble-painting-workshop/,136,124,00:02:06,31,70.97%,33.82%,$0.00
/us/experience/a-virtual-paint-and-sip-party-with-fun-artist/,134,119,00:02:52,49,61.22%,44.78%,$0.00
/us/experience/a-virtual-magic-show-with-a-bafta-award-winning-magician/,133,118,00:02:04,50,64.00%,37.59%,$0.00
/us/experience/an-incredible-unique-interactive-comedy-night-with-the-noise-next-door/,130,108,00:03:25,15,60.00%,20.77%,$0.00
/us/experience/a-relaxing-virtual-candle-making-workshop/,128,119,00:02:40,38,71.79%,42.97%,$0.00
/us/experience/a-private-online-cocktail-making-masterclass/,122,111,00:01:47,32,65.62%,33.61%,$0.00
/us/experience/a-bespoke-whisky-masterclass-with-tastings-and-a-cocktail/,121,108,00:02:31,38,71.05%,44.63%,$0.00
/us/experience/enjoy-these-fun-interactive-online-games-with-your-team/,116,97,00:03:54,50,50.00%,41.38%,$0.00
/us/experience/create-christmas-lego-in-this-online-lego-challenge-workshop/,115,105,00:02:14,14,35.71%,30.43%,$0.00
/us/experience/compete-in-a-virtual-gameshow-to-energise-your-team/,105,86,00:01:13,17,47.06%,27.62%,$0.00
/us/experience/a-christmas-cupcake-baking-and-decorating-masterclass/,104,98,00:00:57,11,9.09%,25.00%,$0.00
/us/experience/online-macaron-making-masterclass/,103,97,00:02:03,24,83.33%,32.04%,$0.00
/us/experience/take-part-in-this-tv-and-cocktail-inspired-virtual-gameshow/,103,98,00:03:10,48,89.58%,59.22%,$0.00
/us/experience/take-part-in-an-investigative-online-murder-mystery/,101,85,00:01:38,23,56.52%,26.73%,$0.00
/us/experience/a-virtual-day-at-the-races-the-ultimate-summer-party-package/,98,89,00:01:16,35,60.00%,31.63%,$0.00
/us/experience/an-online-ceramic-ornament-making-masterclass/,95,78,00:01:58,24,75.00%,29.47%,$0.00
/us/experience/a-virtual-horrorgami-workshop/,94,72,00:01:41,13,61.54%,23.40%,$0.00
/us/experience/an-interactive-online-coffee-cupping-experience/,89,76,00:01:53,20,75.00%,35.96%,$0.00
/us/experience/a-haunting-halloween-cocktail-masterclass/,87,75,00:01:58,25,84.00%,36.78%,$0.00
/us/experience/an-online-craft-beer-tasting-masterclass-with-a-certified-cicerone/,87,80,00:02:03,30,73.33%,50.57%,$0.00
/us/experience/enjoy-a-virtual-music-bingo-experience/,85,71,00:01:49,23,66.67%,34.12%,$0.00
/us/experience/exclusive-virtual-chocolate-tasting-masterclass-with-world-class-chocolatier/,84,81,00:01:42,27,81.48%,45.24%,$0.00
/us/experience/an-interactive-and-fun-virtual-coffee-tasting/,82,72,00:01:52,28,60.71%,43.90%,$0.00
/us/experience/a-virtual-christmas-card-painting-workshop/,79,70,00:02:02,27,70.37%,48.10%,$0.00
/us/experience/take-part-in-a-virtual-speakeasy-murder-mystery-experience/,79,70,00:00:58,7,42.86%,21.52%,$0.00
/us/experience/take-part-in-an-exciting-virtual-team-challenge/,79,73,00:01:45,26,80.77%,41.77%,$0.00
/us/experience/a-fun-and-accessible-online-yoga-session/,74,68,00:01:55,39,71.79%,44.59%,$0.00
/us/experience/an-interactive-virtual-craft-chocolate-tasting/,74,61,00:02:31,13,40.00%,33.78%,$0.00
/us/experience/experience-an-incredible-interactive-online-magic-show/,73,60,00:01:32,18,33.33%,19.18%,$0.00
/us/experience/lost-in-the-lab-an-exciting-virtual-escape-room/,73,71,00:01:42,18,72.22%,42.47%,$0.00
/us/experience/a-gin-tasting-masterclass-with-gin-cocktails/,72,68,00:01:02,17,64.71%,34.72%,$0.00
/us/experience/an-interactive-rum-tasting-masterclass-with-rum-cocktails/,71,64,00:01:23,30,80.00%,52.11%,$0.00
/us/experience/the-big-online-quiz-of-utter-nonsense/,67,62,00:01:34,17,52.94%,26.87%,$0.00
/us/experience/an-interactive-online-bubble-show-and-workshop/,66,63,00:01:44,28,85.71%,50.00%,$0.00
/us/experience/a-virtual-new-york-style-pizza-making-masterclass/,64,59,00:03:06,21,86.36%,60.94%,$0.00
/us/experience/find-the-lost-treasure-in-this-online-puzzling-pirate-adventure/,64,59,00:01:00,6,83.33%,31.25%,$0.00
/us/experience/a-relaxing-virtual-painting-sesh/,63,57,00:01:26,6,83.33%,38.10%,$0.00
/us/experience/an-interactive-online-whacky-wager-betting-night/,63,53,00:02:50,8,75.00%,33.33%,$0.00
/us/experience/an-online-natural-and-creative-bath-bomb-and-bath-salts-workshop/,62,51,00:02:33,19,94.74%,45.16%,$0.00
/us/experience/take-part-in-a-virtual-superhero-inspired-challenge/,62,57,00:01:38,9,77.78%,30.65%,$0.00
/us/experience/an-interactive-online-pizza-making-masterclass/,61,61,00:01:43,5,40.00%,37.70%,$0.00
/us/experience/enjoy-a-virtual-baking-masterclass-with-a-ex-gbbo-star-baker/,60,50,00:04:12,16,62.50%,36.67%,$0.00
/us/experience/a-mindful-online-drawing-masterclass/,59,54,00:01:01,7,42.86%,22.03%,$0.00
/us/experience/a-fun-virtual-caricature-team-challenge/,58,52,00:01:31,11,63.64%,32.76%,$0.00
/us/experience/an-incredible-virtual-terrarium-masterclass-experience/,57,54,00:02:17,12,83.33%,29.82%,$0.00
/us/experience/delve-into-an-online-theatrical-thriller-escape-room/,57,54,00:01:04,10,60.00%,52.63%,$0.00
/us/experience/sip-the-vine-in-this-wine-tasting-masterclass/,57,52,00:03:53,15,73.33%,35.09%,$0.00
/us/experience/an-exciting-virtual-cocktail-masterclass-around-the-world/,56,53,00:03:10,21,76.19%,57.14%,$0.00
/us/experience/online-bread-making-masterclass/,55,45,00:01:23,11,90.91%,30.91%,$0.00
/us/experience/a-virtual-succulent-terrarium-workshop/,54,52,00:03:29,20,80.00%,59.26%,$0.00
/us/experience/the-ultimate-luxury-cocktail-making-masterclass/,54,49,00:02:30,10,90.00%,40.74%,$0.00
/us/experience/enjoy-an-online-puzzling-theatre-escape-room/,49,45,00:01:50,4,75.00%,28.57%,$0.00
/us/experience/enjoy-a-virtual-chefs-table-cook-along-masterclass/,48,44,00:01:14,7,100.00%,27.08%,$0.00
/us/experience/a-virtual-christmas-cracker-workshop/,46,42,00:03:01,19,68.42%,45.65%,$0.00
/us/experience/an-online-mindful-baking-workshop-with-a-professional-chef/,46,42,00:01:08,6,100.00%,28.26%,$0.00
/us/experience/online-whisky-tasting-experience/,46,40,00:01:31,6,66.67%,36.96%,$0.00
/us/experience/an-online-scented-candle-making-masterclass/,45,45,00:01:14,18,83.33%,53.33%,$0.00
/us/experience/make-wine-based-cocktails-in-this-online-masterclass/,45,37,00:03:04,9,77.78%,33.33%,$0.00
/us/experience/a-spooktacular-online-halloween-cupcake-masterclass/,44,39,00:02:55,7,71.43%,43.18%,$0.00
/us/experience/an-online-mystery-adventure-inspired-by-alice-in-wonderland/,44,44,00:01:32,12,83.33%,36.36%,$0.00
/us/experience/enjoy-a-sparkling-wine-and-champagne-tasting-with-an-expert-sommelier/,41,38,00:00:44,7,85.71%,34.15%,$0.00
/us/experience/a-virtual-winter-hoop-workshop/,40,37,00:02:00,7,71.43%,37.50%,$0.00
/us/experience/paint-the-perfect-picture-with-this-virtual-interactive-painting-party/,40,37,00:02:20,9,66.67%,35.00%,$0.00
/us/experience/reinvigorate-your-team-with-a-choice-of-bespoke-workout-sessions/,38,35,00:02:10,16,87.50%,50.00%,$0.00
/us/experience/discover-the-ancient-art-of-bonsai-in-this-diy-virtual-workshop/,36,33,00:01:24,11,81.82%,30.56%,$0.00
/us/experience/discover-how-to-make-your-own-soap-in-this-virtual-diy-workshop/,35,34,00:03:59,14,85.71%,40.00%,$0.00
/us/experience/discover-the-lost-city-in-this-online-challenging-escape-room/,35,34,00:01:08,4,75.00%,25.71%,$0.00
/us/experience/a-virtual-team-building-chain-reaction-challenge/,34,34,00:01:34,2,100.00%,17.65%,$0.00
/us/experience/an-interactive-online-adventure-escape-room/,34,34,00:00:41,5,60.00%,38.24%,$0.00
/us/experience/a-virtual-seasonal-pickling-fermenting-workshop/,33,33,00:01:46,8,50.00%,45.45%,$0.00
/us/experience/an-exciting-virtual-team-travel-quiz/,33,29,00:02:16,4,0.00%,24.24%,$0.00
/us/experience/a-virtual-interactive-cinnamon-buns-with-buttermilk-icing-bake-along/,31,24,00:01:28,9,33.33%,22.58%,$0.00
/us/experience/an-exciting-online-team-building-memory-hunt-challenge/,30,29,00:00:32,15,86.67%,53.33%,$0.00
/us/experience/an-online-cupcake-baking-decorating-masterclass/,30,26,00:01:16,4,50.00%,33.33%,$0.00
/us/experience/a-virtual-festive-decorations-workshop/,29,27,00:04:36,3,0.00%,24.14%,$0.00
/us/experience/an-online-interactive-pizza-and-caesar-salad-cook-along-experience/,29,22,00:03:12,6,33.33%,27.59%,$0.00
/us/experience/an-online-interactive-tie-dye-workshop/,29,24,00:01:43,2,100.00%,17.24%,$0.00
/us/experience/a-fun-and-interactive-cookie-making-masterclass/,28,24,00:01:45,4,50.00%,21.43%,$0.00
/us/experience/a-virtual-fun-creative-lino-printing-workshop/,28,27,00:00:57,7,100.00%,39.29%,$0.00
/us/experience/experience-an-exciting-interactive-virtual-escape-room/,28,25,00:00:28,2,50.00%,28.57%,$0.00
/us/experience/get-creative-in-this-ceramic-mug-painting-online-workshop/,28,25,00:02:49,5,80.00%,28.57%,$0.00
/us/experience/solve-the-rubiks-cube-with-magician-and-illusionist-maddox-dixon/,28,27,00:01:26,4,100.00%,32.14%,$0.00
/us/experience/an-interactive-truffle-making-masterclass/,27,26,00:00:21,3,100.00%,44.44%,$0.00
/us/experience/an-online-bavarian-style-pretzel-making-masterclass/,27,27,00:00:33,6,50.00%,29.63%,$0.00
/us/experience/a-virtual-interactive-terrarium-building-workshop/,26,25,00:03:17,13,61.54%,46.15%,$0.00
/us/experience/an-online-interactive-nightclub-gameshow/,25,25,00:00:57,2,100.00%,16.00%,$0.00
/us/experience/enjoy-an-online-family-feast-cooking-class/,25,25,00:01:03,1,0.00%,20.00%,$0.00
/us/experience/a-virtual-cinnamon-sugar-churros-and-chocolate-bake-along/,24,18,00:02:04,3,33.33%,16.67%,$0.00
/us/experience/a-fun-and-interactive-macrame-workshop/,23,21,00:00:50,3,33.33%,13.04%,$0.00
/us/experience/create-a-magical-polymer-clay-wall-hanging-in-this-online-workshop/,23,22,00:01:27,6,33.33%,30.43%,$0.00
/us/experience/an-online-hand-lettering-calligraphy-workshop/,22,18,00:02:09,3,66.67%,36.36%,$0.00
/us/experience/make-your-own-natural-soap-in-this-creative-online-workshop/,22,18,00:02:03,0,0.00%,4.55%,$0.00
/us/experience/paint-your-pet-in-this-online-workshop/,22,20,00:00:42,1,100.00%,13.64%,$0.00
/us/experience/an-amazing-online-e-mentalism-experience/,21,17,00:04:08,5,40.00%,33.33%,$0.00
/us/experience/an-online-creative-watercolour-painting-masterclass/,19,18,00:01:42,3,33.33%,10.53%,$0.00
/us/experience/an-entertaining-and-interactive-virtual-juggling-challenge/,18,14,00:01:06,0,0.00%,5.56%,$0.00
/us/experience/create-a-unique-wine-bottle-planter-in-this-virtual-workshop/,17,17,00:01:28,5,20.00%,11.76%,$0.00
/us/experience/copy-of-an-interactive-virtual-craft-chocolate-tasting/?preview_id=2867&preview_nonce=d5fde034e6&preview=true,16,2,00:01:54,1,0.00%,0.00%,$0.00
/us/experience/virtual-holiday-decorations-workshop/,16,15,00:01:00,2,0.00%,18.75%,$0.00
/us/experience/design-your-own-plant-pots-in-this-diy-online-windowsill-garden-workshop/,15,14,00:00:43,3,100.00%,40.00%,$0.00
/us/experience/dragons-den-meets-the-apprentice-in-this-online-gameshow/,14,14,00:01:30,1,100.00%,21.43%,$0.00
/us/experience/interactive-carne-asada-tacos-with-homemade-tortillas-and-roasted-tomato-salsa-cook-along/,14,10,00:02:06,1,100.00%,28.57%,$0.00
/us/experience/a-virtual-scone-making-masterclass/,13,12,00:00:49,1,0.00%,15.38%,$0.00
/us/experience/an-online-creative-hand-and-lettering-workshop/,12,12,00:06:01,6,50.00%,50.00%,$0.00
/us/experience/virtual-holiday-decorations-workshop/?preview=true,9,3,00:01:38,0,0.00%,11.11%,$0.00
/us/experience/an-interactive-unique-online-pantomime-experience-cinderella-live/,7,7,00:03:25,0,0.00%,14.29%,$0.00
/us/experience/an-online-interactive-lego-building-activity/?preview_id=1961&preview_nonce=6c06fbff74&preview=true,7,1,00:00:31,1,0.00%,0.00%,$0.00
/us/experience/make-your-own-reusable-face-masks-in-this-online-diy-workshop/,7,7,00:00:12,2,50.00%,28.57%,$0.00
/us/experience/winter-at-drownton-abbey-an-exclusive-online-murder-mystery/,7,6,00:00:30,3,33.33%,42.86%,$0.00
/us/experience/experience-an-exclusive-online-pantomime-production-peter-pan-live/,6,4,00:00:19,0,0.00%,33.33%,$0.00
/us/experience/the-perfect-christmas-cocktail-masterclass/?preview=true,6,4,00:07:42,1,0.00%,50.00%,$0.00
/us/experience/a-virtual-roaring-20s-cocktail-party-with-private-jazz-show/,5,4,00:00:31,0,0.00%,20.00%,$0.00
/us/experience/a-relaxing-online-egg-cup-painting-workshop/,4,4,00:00:17,0,0.00%,0.00%,$0.00
/us/experience/an-online-interactive-lego-building-activity/?preview=true,4,3,00:01:17,0,0.00%,0.00%,$0.00
/us/experience/choose-your-own-party-package/,4,4,00:01:03,0,0.00%,25.00%,$0.00
/us/experience/online-immersive-thriller-escape-room/?preview_id=1220&preview_nonce=b15be46ddb&preview=true,4,1,00:06:37,0,0.00%,0.00%,$0.00
/us/experience/ultimate-online-gameshow/-,4,4,00:00:12,4,50.00%,50.00%,$0.00
/us/experience/a-bespoke-whisky-masterclass-with-tastings-and-a-cocktail/?preview=true,3,1,00:00:24,0,0.00%,0.00%,$0.00
/us/experience/a-creative-and-engaging-virtual-origami-workshop/?preview=true,3,3,00:00:39,0,0.00%,33.33%,$0.00
/us/experience/a-virtual-day-at-the-races-the-ultimate-party-package/,3,3,00:00:37,0,0.00%,33.33%,$0.00
/us/experience/an-online-murder-mystery-experience/?preview=true,3,2,00:02:05,0,0.00%,33.33%,$0.00
/us/experience/an-online-painting-workshop-with-all-materials-delivered/?preview_id=387&preview_nonce=2d0b8fbd5b&preview=true,3,1,00:00:42,0,0.00%,0.00%,$0.00
/us/experience/an-online-painting-workshop-with-all-materials-delivered/?preview=true,3,1,00:00:22,0,0.00%,0.00%,$0.00
/us/experience/an-online-rum-chocolate-tasting-experience/,3,2,00:00:10,2,0.00%,33.33%,$0.00
/us/experience/create-christmas-lego-in-this-online-lego-challenge-workshop/?preview_id=2534&preview_nonce=c97fb45cf0&preview=true,3,1,00:00:26,1,0.00%,0.00%,$0.00
/us/experience/create-christmas-lego-in-this-online-lego-challenge-workshop/?preview=true,3,2,00:09:07,0,0.00%,0.00%,$0.00
/us/experience/the-perfect-christmas-cocktail-masterclass/?preview_id=2635&preview_nonce=90370e07bb&preview=true,3,2,00:02:28,0,0.00%,33.33%,$0.00
/us/experience/the-please-everyone-online-party-package/,3,3,00:00:48,0,0.00%,0.00%,$0.00
/us/experience/ultimate-online-gameshow/?preview=true,3,2,00:04:46,0,0.00%,0.00%,$0.00
/us/experience/virtual-holiday-decorations-workshop/?preview_id=2867&preview_nonce=d5fde034e6&preview=true,3,1,00:05:05,0,0.00%,0.00%,$0.00
/us/?ava_lang_version=us/experience/bespoke-online-cocktail-making-masterclass-with-master-mixologists/,2,1,00:00:07,0,0.00%,0.00%,$0.00
/us/?ava_lang_version=us/experience/ultimate-online-gameshow,2,1,00:00:15,0,0.00%,0.00%,$0.00
/us/experience/a-bespoke-whisky-masterclass-with-tastings-and-a-cocktail/?preview_id=842&preview_nonce=921911adb4&preview=true,2,1,00:03:01,0,0.00%,0.00%,$0.00
/us/experience/a-brilliant-online-magic-show-with-the-virtual-magician/?preview_id=775&preview_nonce=9d6bc65eff&preview=true,2,1,00:00:44,0,0.00%,0.00%,$0.00
/us/experience/a-brilliant-online-magic-show-with-the-virtual-magician/?preview=true,2,1,00:00:56,0,0.00%,0.00%,$0.00
/us/experience/a-fun-and-accessible-online-yoga-session/?preview_id=534&preview_nonce=2f091dd0c9&preview=true,2,1,00:01:43,0,0.00%,0.00%,$0.00
/us/experience/a-private-online-cocktail-making-masterclass/?preview_id=524&preview_nonce=044c952303&preview=true,2,1,00:00:35,0,0.00%,0.00%,$0.00
/us/experience/an-incredible-bespoke-virtual-casino-night/?preview=true,2,1,00:00:28,0,0.00%,0.00%,$0.00
/us/experience/an-interactive-and-unique-lego-building-activity/,2,2,00:14:20,1,0.00%,0.00%,$0.00
/us/experience/an-interactive-virtual-craft-chocolate-tasting/?preview_id=2841&preview_nonce=c45beb8f72&preview=true,2,1,00:07:38,1,0.00%,0.00%,$0.00
/us/experience/an-interactive-virtual-murder-mystery-experience/?preview_id=1072&preview_nonce=9fba3e1869&preview=true,2,1,00:02:12,0,0.00%,0.00%,$0.00
/us/experience/an-onhttps:/avvaexperience.com/us/experience/an-online-interactive-lego-building-activity/e-interactive-lego-building-activity/,2,1,00:02:30,0,0.00%,0.00%,$0.00
/us/experience/an-online-festive-wreath-making-workshop/?preview=true,2,2,00:01:50,0,0.00%,0.00%,$0.00
/us/experience/an-online-holiday-ornament-painting-party/?preview=true,2,2,00:01:34,2,50.00%,50.00%,$0.00
/us/experience/an-online-interactive-lego-building-activity/?preview_id=1961&preview_nonce=9c0799e0fb&preview=true,2,2,00:01:16,0,0.00%,0.00%,$0.00
/us/experience/bespoke-online-cocktail-making-masterclass-with-master-mixologists/?gbraid=0AAAAABYxgEC7L1ZUZCWmcElw5agJynlUt,2,1,00:03:41,1,0.00%,50.00%,$0.00
/us/experience/bespoke-online-cocktail-making-masterclass-with-master-mixologists/?preview_id=291&preview_nonce=48f2af28ab&preview=true,2,1,00:09:34,0,0.00%,0.00%,$0.00
/us/experience/bespoke-online-cocktail-making-masterclass-with-master-mixologists/null,2,1,00:02:01,0,0.00%,50.00%,$0.00
/us/experience/challenge-yourself-in-this-interactive-virtual-hacking-experience/?preview_id=2093&preview_nonce=e6dde3b0f0&preview=true,2,2,00:01:49,0,0.00%,0.00%,$0.00
/us/experience/challenge-yourself-in-this-interactive-virtual-hacking-experience/private@avvaexperience.com,2,1,00:00:26,1,0.00%,0.00%,$0.00
/us/experience/christmas-at-drownton-abbey-an-exclusive-online-murder-mystery/</a><br><br>Tom,2,2,00:00:05,2,0.00%,0.00%,$0.00
/us/experience/enjoy-a-unique-and-comical-online-caricature-workshop/?preview_id=1037&preview_nonce=baef921e3c&preview=true,2,1,00:01:38,0,0.00%,0.00%,$0.00
/us/experience/online-immersive-thriller-escape-room/?preview=true,2,2,00:01:11,0,0.00%,0.00%,$0.00
/us/experience/virtual-pop-up-jazz-show/?preview_id=1239&preview_nonce=e0bc7b8b49&preview=true,2,1,00:01:04,0,0.00%,50.00%,$0.00
/experience/ultimate-online-gameshow/us/?ava_lang_version=us,1,1,00:00:14,0,0.00%,0.00%,$0.00
/us//experience/bespoke-online-cocktail-making-masterclass-with-master-mixologists/,1,1,00:01:33,1,0.00%,0.00%,$0.00
/us/experience/a-bespoke-whisky-masterclass-with-tastings-and-a-cocktail/?preview_id=842&preview_nonce=66df42ee74&preview=true,1,1,00:15:43,0,0.00%,0.00%,$0.00
/us/experience/a-creative-and-engaging-virtual-origami-workshop/?preview_id=1189&preview_nonce=8e1f9ef820&preview=true,1,1,00:01:18,0,0.00%,0.00%,$0.00
/us/experience/a-creative-and-engaging-virtual-origami-workshop/?preview_id=1189&preview_nonce=9443a2ee44&preview=true,1,1,00:00:00,1,100.00%,100.00%,$0.00
/us/experience/a-creative-and-engaging-virtual-origami-workshop/?preview_id=1189&preview_nonce=a2b650ec26&preview=true,1,1,00:00:06,1,0.00%,0.00%,$0.00
/us/experience/a-creative-and-engaging-virtual-origami-workshop/?preview_id=1189&preview_nonce=f8b77e9524&preview=true,1,1,00:02:04,0,0.00%,0.00%,$0.00
/us/experience/a-festive-virtual-reindeer-horse-racing-experience/?preview_id=2539&preview_nonce=d035780650&preview=true,1,1,00:01:41,0,0.00%,0.00%,$0.00
/us/experience/a-fun-and-accessible-online-yoga-session/?preview=true,1,1,00:00:14,0,0.00%,0.00%,$0.00
/us/experience/a-gin-tasting-masterclass-with-gin-cocktails/?preview_id=832&preview_nonce=731ff50f67&preview=true,1,1,00:00:33,0,0.00%,0.00%,$0.00
/us/experience/a-gin-tasting-masterclass-with-gin-cocktails/?preview=true,1,1,00:00:21,0,0.00%,0.00%,$0.00
/us/experience/a-hilarious-virtual-ventriloquist-show-with-a-britains-got-talent-finalist/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/us/experience/a-mindful-online-drawing-masterclass/?preview_id=1031&preview_nonce=9cbab35d5f&preview=true,1,1,00:01:38,0,0.00%,0.00%,$0.00
/us/experience/a-private-online-cocktail-making-masterclass/?preview=true,1,1,00:01:17,0,0.00%,0.00%,$0.00
/us/experience/a-superb-online-wine-tasting-with-cheese-pairings/?gbraid=0AAAAABYxgEDyICdd6qT28YrtwViqs2FHO,1,1,00:00:00,1,100.00%,100.00%,$0.00
